image,method,under_exposed_ratio,over_exposed_ratio_from_image,well_exposed_ratio,mean_y,mean_y_gain_from_image,color_shift_from_input
mef_02,LPIA-Former-Lite,0.0002666666666666667,0.017870833333333332,0.8894125,0.3195912837982178,0.21776637434959412,0.2175430804491043
mef_03,Gamma(0.6),0.10599583333333333,0.012120833333333334,0.5660625,0.24972565472126007,0.09664806723594666,0.09600188583135605
mef_03,Retinex,0.0321,0.012266666666666667,0.908925,0.3819745182991028,0.22889693081378937,0.22684580087661743
mef_03,Zero-DCE-Lite,0.007566666666666667,0.05076666666666667,0.8492166666666666,0.46365436911582947,0.31057679653167725,0.30937591195106506
mef_03,LPIA-LightU-Net,0.0066166666666666665,4.1666666666666665e-05,0.8383166666666667,0.29087409377098083,0.13779650628566742,0.13899827003479004
mef_03,LPIA-Former-Lite,0.0,0.0030375,0.9580125,0.3296491503715515,0.1765715628862381,0.17754574120044708
mef_04,Gamma(0.6),0.00015833333333333332,0.002191666666666667,0.9468375,0.2457168996334076,0.12434933334589005,0.11576059460639954
mef_04,Retinex,0.020379166666666667,0.0021125,0.9577791666666666,0.3169080317020416,0.19554045796394348,0.1859206110239029
mef_04,Zero-DCE-Lite,0.0,0.0292875,0.9542125,0.5434890985488892,0.422121524810791,0.38833510875701904
mef_04,LPIA-LightU-Net,0.0010208333333333332,0.0009,0.9240708333333333,0.311080664396286,0.18971309065818787,0.18832314014434814
mef_04,LPIA-Former-Lite,0.0,0.002970833333333333,0.9684083333333333,0.34735459089279175,0.2259870171546936,0.2250712662935257
mef_05,Gamma(0.6),0.5118416666666666,0.0,0.2596541666666667,0.11432049423456192,0.06046326458454132,0.05973554030060768
mef_05,Retinex,0.0654625,4.166666666666667e-06,0.8561,0.5767529010772705,0.5228956937789917,0.5155628323554993
mef_05,Zero-DCE-Lite,0.15165416666666667,0.009541666666666667,0.49680833333333335,0.2438608705997467,0.1900036334991455,0.18952037394046783
mef_05,LPIA-LightU-Net,2.0833333333333333e-05,0.015820833333333333,0.8668666666666667,0.27015382051467896,0.21629658341407776,0.21304114162921906
mef_05,LPIA-Former-Lite,0.0,0.020829166666666666,0.9557708333333333,0.30603885650634766,0.25218161940574646,0.2500974237918854
npe_01,Gamma(0.6),0.04419583333333333,0.0124875,0.7547583333333333,0.2391781508922577,0.10497391223907471,0.10042165964841843
npe_01,Retinex,0.011154166666666666,0.0110625,0.9530458333333334,0.487398624420166,0.35319438576698303,0.3220578730106354
npe_01,Zero-DCE-Lite,0.010745833333333333,0.07022916666666666,0.8663333333333333,0.49598047137260437,0.3617762327194214,0.34317269921302795
npe_01,LPIA-LightU-Net,0.00715,0.0042833333333333334,0.9113125,0.3052235245704651,0.1710192859172821,0.17217803001403809
npe_01,LPIA-Former-Lite,0.0016,0.017045833333333333,0.9154166666666667,0.32263171672821045,0.18842747807502747,0.19109313189983368
npe_02,Gamma(0.6),0.004583333333333333,0.003125,0.9435333333333333,0.45834240317344666,0.13442927598953247,0.13425925374031067
npe_02,Retinex,0.01905,0.0016083333333333334,0.9547916666666667,0.48116055130958557,0.1572474241256714,0.16214770078659058
npe_02,Zero-DCE-Lite,0.0009125,0.1806875,0.7330791666666666,0.7050480842590332,0.381134957075119,0.37958380579948425
npe_02,LPIA-LightU-Net,0.032045833333333336,0.0,0.8577958333333333,0.3776109516620636,0.053697824478149414,0.04663093015551567
npe_02,LPIA-Former-Lite,0.00495,0.00012916666666666667,0.9206666666666666,0.42109745740890503,0.09718433022499084,0.0934373065829277
npe_03,Gamma(0.6),0.00011666666666666667,0.0,0.9873541666666666,0.5835120677947998,0.13419228792190552,0.11811701208353043
npe_03,Retinex,0.015675,0.0,0.9742625,0.5383588671684265,0.08903908729553223,0.08160483837127686
npe_03,Zero-DCE-Lite,8.333333333333334e-06,0.2650166666666667,0.5139416666666666,0.8227922916412354,0.37347251176834106,0.3249712884426117
npe_03,LPIA-LightU-Net,0.00014583333333333335,0.0,0.9196333333333333,0.43794921040534973,-0.011370569467544556,0.0680665448307991
npe_03,LPIA-Former-Lite,0.0008541666666666667,0.0016791666666666667,0.9387958333333334,0.49299681186676025,0.04367703199386597,0.05964501574635506
npe_04,Gamma(0.6),0.023079166666666668,0.0019041666666666666,0.9345583333333334,0.3675442636013031,0.15437163412570953,0.15252834558486938
npe_04,Retinex,0.01875833333333333,0.003395833333333333,0.9591458333333334,0.4788176417350769,0.26564502716064453,0.2847287654876709
npe_04,Zero-DCE-Lite,0.0093625,0.009058333333333333,0.9467666666666666,0.651113748550415,0.43794113397598267,0.4325729310512543
npe_04,LPIA-LightU-Net,0.016208333333333335,0.0030083333333333333,0.9463541666666667,0.4421445429325104,0.2289719134569168,0.20537805557250977
npe_04,LPIA-Former-Lite,0.018645833333333334,0.009408333333333333,0.9312333333333334,0.4615982472896576,0.24842561781406403,0.22466057538986206
npe_05,Gamma(0.6),0.0028041666666666666,0.03974166666666667,0.9138708333333333,0.6044117212295532,0.1257660686969757,0.12186762690544128
npe_05,Retinex,0.017070833333333334,0.004754166666666667,0.8964916666666667,0.6200978755950928,0.14145222306251526,0.1405256688594818
npe_05,Zero-DCE-Lite,0.0017875,0.31119166666666664,0.4888625,0.8260288834571838,0.3473832309246063,0.3363880217075348
npe_05,LPIA-LightU-Net,0.0001,0.0,0.9561833333333334,0.42699548602104187,-0.051650166511535645,0.07754388451576233
npe_05,LPIA-Former-Lite,0.007020833333333333,0.0,0.901375,0.4591546654701233,-0.019490987062454224,0.05479880049824715
